place_name,topic1,topic2,topic3
이호테우해수욕장,고요한,감성적인,건강한
함덕해수욕장,로맨틱,힐링,건강한
남원큰엉해변,로맨틱,힐링,인스타감성
협재해수욕장,힐링,건강한,편안한
용머리해안,로맨틱,힐링,건강한
한담해변,아늑한,청량한,아이와 함께
삼양해수욕장,힐링,건강한,청량한
행원해변,로맨틱,힐링,건강한
논짓물해변,힐링,건강한,아늑한
검멀레해변,로맨틱,힐링,건강한
몽돌해변,아늑한,감성적인,활기찬
세기알해변,로맨틱,힐링,건강한
신흥해수욕장,건강한,아늑한,감성적인
하모해변,편안한,아늑한,감성적인
알작지해변,로맨틱,힐링,건강한
함덕해수욕장 주차장,힐링,건강한,아늑한
협재해수욕장 주차장,힐링,건강한,아늑한
협재해수욕장 캠핑장,로맨틱,힐링,건강한
곽지해수욕장 주차장,건강한,편안한,아늑한
삼양해수욕장 정자,건강한,편안한,감성적인
표선해수욕장 샤워장,고요한,건강한,감성적인
하도해수욕장 화장실,로맨틱,힐링,건강한
삼양해수욕장 공영주차장,힐링,건강한,아늑한
비자림,힐링,활기찬,감성적인
서귀포자연휴양림,힐링,아늑한,자연친화적인
절물자연휴양림,로맨틱,힐링,건강한
붉은오름자연휴양림,자연친화적인,아늑한,고요한
교래자연휴양림,고요한,건강한,감성적인
한남시험림탐방,고요한,건강한,감성적인
제주시험림,건강한,감성적인,자연친화적인
설록다원도순,로맨틱,힐링,건강한
서귀다원,로맨틱,힐링,건강한
녹차동굴,로맨틱,힐링,건강한
올레길 14-1코스(저지-서광 올레),로맨틱,힐링,건강한
항파두리 항몽유적지,로맨틱,힐링,건강한
이중섭거리,힐링,아늑한,감성적인
유채꽃프라자,로맨틱,힐링,분위기
소천지,로맨틱,힐링,건강한
오늘은카트레이싱,고요한,건강한,감성적인
성읍랜드,모험적인,감성적인,배움
김경숙해바라기농장,아늑한,감성적인,인스타감성
올티스,힐링,건강한,아늑한
남송이오름,로맨틱,힐링,건강한
제주농업생태원,로맨틱,힐링,건강한
국립제주박물관,로맨틱,힐링,건강한
오설록 티뮤지엄,로맨틱,힐링,건강한
세계자동차&피아노박물관,활기찬,아늑한,감성적인
제주항공우주박물관,현대적인,감성적인,분위기
박물관은살아있다 제주중문점,로맨틱,힐링,인스타감성
제주해양동물박물관,로맨틱,힐링,건강한
바이나흐튼 크리스마스박물관,로맨틱,건강한,힐링
그리스신화박물관,건강한,힐링,감성적인
초콜릿박물관,아늑한,배움,세계적인
제주 세계자연유산센터,아늑한,감성적인,현대적인
조안베어뮤지엄,로맨틱,힐링,건강한
비오토피아 수풍석박물관,로맨틱,힐링,건강한
공룡과동물농장,고요한,건강한,감성적인
